brand,item_num,total-sizes,buyma_id,buyma_num,buyma_color,buyma_sizes,shop_name,price_memo,present_price,lowest_price,buyer_name,buyer_url,partition_price,change_price
PRADA,2NE789064F0002,/FREE,52630549,2NE789064F0002,BLACK,"FREE/買付可/,",Amr,28200,36800,30779,Ciao Italia,https://www.buyma.com/buyer/5824366.html,33333,36800
PRADA,2NA029064F0002,/FREE,52630523,2NA029064F0002,BLACK,"FREE/買付可/,",StyleIsNow,27400,35800,29931,Dolce Lilla,https://www.buyma.com/buyer/4699885.html,30751,35800
PRADA,2MO5132MB8F0002,/FREE,52630461,2MO5132MB8F0002,BLACK,"FREE/買付可/,",StyleIsNow,27400,35800,28989,Ciao Italia,https://www.buyma.com/buyer/5824366.html,30751,35800
PRADA,UB3331TA3F0010,/46/52,52630431,UB3331TA3F0010,LIGHTBLUE/YELLOW/BLACK,"38/買付可/,40/買付可/,42/買付可/,44/買付可/,46/買付可/,48/買付可/,50/買付可/,52/買付可/,54/買付可/,56/買付可/,58/買付可/,60/買付可/,",StyleIsNow,24600,32100,31325,Ciao Italia,https://www.buyma.com/buyer/5824366.html,27609,31262
PRADA,UJN5421TA8F011G,/S/L,52630383,UJN5421TA8F011G,ORANGE/WHITE/BLUE,"XXS/買付可/,XS/買付可/,S/買付可/,M/買付可/,L/買付可/,XL/買付可/,XXL/買付可/,XXXL/買付可/,",StyleIsNow,24600,32100,32100,lusso.premio,https://www.buyma.com/buyer/7488199.html,27609,32035
PRADA,UJN5421TA6F0P41,/M/XL,52630346,UJN5421TA6F0P41,BLUE/WHITE,"XXS/買付可/,XS/買付可/,S/買付可/,M/買付可/,L/買付可/,XL/買付可/,XXL/買付可/,XXXL/買付可/,",StyleIsNow,24600,32100,27150,Ciao Italia,https://www.buyma.com/buyer/5824366.html,27609,32100
,NotFound,,52630306,UB3331TA2F0322,GREY/LIGHTBLUE/PINK,"38/買付可/,40/買付可/,42/買付可/,44/買付可/,46/買付可/,48/買付可/,50/買付可/,52/買付可/,54/買付可/,56/買付可/,58/買付可/,60/買付可/,",,,,27822,Ciao Italia,https://www.buyma.com/buyer/5824366.html,,
PRADA,2TT0802CENF0QLR,/FREE,52630268,2TT0802CENF0QLR,BLACK/LIGHTBLUE,"FREE/買付可/,",StyleIsNow,21000,27400,27400,lusso.premio,https://www.buyma.com/buyer/7488199.html,23569,27345
PRADA,2MC047QHHF0002,/FREE,52630241,2MC047QHHF0002,BLACK,"FREE/買付可/,",StyleIsNow,21000,27400,22979,Ciao Italia,https://www.buyma.com/buyer/5824366.html,23569,27400
PRADA,UB339Q04FF0AGO,/46/52,52630212,UB339Q04FF0AGO,BLUE,"38/買付可/,40/買付可/,42/買付可/,44/買付可/,46/買付可/,48/買付可/,50/買付可/,52/買付可/,54/買付可/,56/買付可/,58/買付可/,60/買付可/,",StyleIsNow,19800,25800,25800,lusso.premio,https://www.buyma.com/buyer/7488199.html,22222,25748
PRADA,2MC223ZLPF0216,/FREE,52630178,2MC223ZLPF0216,BLUE/LIGHTBLUE,"FREE/買付可/,",StyleIsNow,18800,24600,20589,Ciao Italia,https://www.buyma.com/buyer/5824366.html,21099,24600
PRADA,2MC223ZLPF0002,/FREE,52630148,2MC223ZLPF0002,GREY/BLACK,"FREE/買付可/,",StyleIsNow,18800,24600,20589,Ciao Italia,https://www.buyma.com/buyer/5824366.html,21099,24600
PRADA,2NH0062BTEF0XYA,/FREE,52630113,2NH0062BTEF0XYA,GREEN/BLACK,"FREE/買付可/,",Amr,18300,24000,24000,lusso.premio,https://www.buyma.com/buyer/7488199.html,21631,23952
PRADA,2MC2232MB8F0002,/FREE,52630043,2MC2232MB8F0002,BLACK,"FREE/買付可/,",StyleIsNow,17400,22700,19789,Ciao Italia,https://www.buyma.com/buyer/5824366.html,19528,19749
PRADA,2MC2232MB8F0QLR,/FREE,52630015,2MC2232MB8F0QLR,BLACK/BLUE,"FREE/買付可/,",StyleIsNow,17400,22700,19789,Ciao Italia,https://www.buyma.com/buyer/5824366.html,19528,19749
